== ID ==,== Velocity (km/h) ==,== Current route ==,== Distance traveled (m) ==,== Destination ==,== Distance to destination (m) ==,== Type ==,== Battery level (%) ==,== Timestamp ==
ev1,37.55,-E200,1077.66,-E184,669.39,evehicle,49.57,100.0
ev1,52.31,-E185,1594.7,-E149,1567.0,evehicle,49.34,140.0
ev1,37.62,-E147,3097.54,-E17,660.68,evehicle,49.0,258.5
ev1,22.79,E56,3673.19,einstein,917.87,evehicle,48.86,320.5
ev1,37.15,ohm,4263.84,E7,1196.89,evehicle,48.6,374.0
ev1,22.57,-E0,5372.51,E172,1312.51,evehicle,48.34,458.5
ev1,52.45,E171,6529.86,E30,853.61,evehicle,47.89,549.5
ev1,40.18,E27,7303.13,-E46,411.26,evehicle,47.71,618.0
ev1,40.07,E80,7626.82,-E96,620.76,evehicle,47.6,645.5
ev1,24.08,E13,8170.05,-E165,1334.54,evehicle,47.49,698.5
ev1,42.48,-E166,9176.97,-E17,861.85,evehicle,47.09,787.5
ev1,52.38,-E57,9972.37,-E60,222.99,evehicle,46.8,854.5
ev1,39.31,E27,10110.46,E0,633.91,evehicle,46.83,869.5
ev1,51.08,-E7,10660.48,E108,688.06,evehicle,46.6,917.0
ev1,52.85,-E34,11289.91,-E181,886.91,evehicle,46.4,970.5
ev1,44.5,-E174,12061.15,-maxwell,1010.36,evehicle,46.2,1041.0
ev1,23.9,-E12,12993.4,-E89,865.58,evehicle,46.0,1122.5
ev1,51.8,E129,13660.97,-E215,1108.61,evehicle,45.66,1181.5
ev1,43.92,-E216,14683.1,-E85,672.92,evehicle,45.37,1273.0
ev1,50.87,-E86,15192.45,E157,1551.96,evehicle,45.14,1321.0
ev1,29.3,-E159,16675.01,E185,1184.77,evehicle,44.77,1447.5
ev1,50.8,E184,17709.84,-E212,861.32,evehicle,44.34,1545.5
ev1,38.59,-E192,18486.95,E14,622.38,evehicle,44.17,1611.0
ev1,31.21,E12,19033.97,E109,570.13,evehicle,44.03,1665.5
ev1,51.41,-E52,19556.92,E52,690.03,evehicle,43.74,1716.5
ev1,51.7,E51,20162.21,E198,887.44,evehicle,43.57,1766.5
ev1,28.22,E197,20966.24,E131,937.67,evehicle,43.43,1839.5
ev1,35.39,E142,21847.01,-E98,1116.45,evehicle,43.11,1920.5
ev1,23.29,-E99,22595.48,-E60,790.62,evehicle,42.91,1994.0
ev1,42.26,E27,23302.14,E73,573.6,evehicle,42.6,2057.0
ev1,50.72,E53,23799.55,-E85,393.96,evehicle,42.43,2096.5
ev1,23.72,-E86,24029.19,-E11,1650.84,evehicle,42.46,2120.5
ev1,13.86,-E93,25600.87,E40,656.15,evehicle,42.03,2245.5
ev1,50.72,E37,26167.99,-E158,781.85,evehicle,41.71,2299.0
ev1,32.11,E135,26877.45,E41,942.7,evehicle,41.57,2354.0
